№,Описание,ОР
Работа с наборами,,
Добавление продуктов в набор — ручка POST /api/v1/kits/:id/products,,
id в url,,
1,"Продукты в набор добавляются, если ввести существующий id в url 2 и кол-во  товаров в наборе 25, набор есть в БД",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,Продукты в набор добавлены
2,"Продукты в набор не добавляются, если  ввести несуществующий  id в url 25, кол-во   товаров в наборе 25, набора нет в БД",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
3,"Продукты в набор не добавляются, если  ввести невалидный id в url буквы ""абв"", кол-во  товаров в наборе 25, набора нет в БД",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
4,"Продукты в набор не добавляются, если  ввести невалидный id в url символы""%,.&"", кол-во  товаров в наборе 25, набора нет в БД",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
5,"Продукты в набор не добавляются, если  ввести в id в url отрицательное число, кол-во  товаров в наборе 25, набора нет в БД",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
6,"Продукты в набор не добавляются, если  id в url пустым, кол-во  товаров в наборе 25, набора нет в БД",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
id продукта,,
1,"Продукты в набор  добавляются, если ввести существующий id продукта 2 , валидный id в url  6 , quantity 2",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,Продукты в набор добавлены
2,"Продукты в набор не добавляются, если ввести невалидный id  продукта буквы ""абв"" , валидный id в url  6 , quantity 2",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
3,"Продукты в набор не добавляются, если ввести невалидный id  продукта символы ""%,.&"" , валидный id в url  6 , quantity 2",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
4,"Продукты в набор не добавляются, если  id продукта оставить пустым,  валидный id в url  6 , quantity 2",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
5,"Продукты в набор не добавляются, если  id продукта отрицательное число, валидный id в url  6 , quantity 2",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
6,"Продукты в набор не добавляются, если ввести несуществующий id продукта 111111 ,  валидный id в url  8 , quantity 1",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
quantity,,
1,"Продукты в набор  добавляются, если ввести валидное quantity  = 1 , валидный id в url = 6, валидный id продукта =1 ",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,Продукты в набор добавлены
3,"Продукты в набор не добавляются, если ввести quantity =  -1, валидный id в url = 6, валидный id продукта =1 ",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
4,"Продукты в набор не добавляются, если ввести  quantity  ввиде букв ""абв"", валидный id в url = 6, валидный id продукта =1 ",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
5,"Продукты в набор не добавляются, если оставить пустым quantity  , ввести валидный id в url = 6, валидный id продукта =1 ",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
6,"Продукты в набор не добавляются, если ввести невалидное quantity  символы""%,.&"" , валидный id в url =6, валидный id продукта =1 ",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
productsList,,
1,"Продукты в набор  добавляются, если количество товаров в наборе 29, при валидных : id в url = 6,  id продукта =1 , quantity  =1",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,Продукты в набор добавлены
3,"Продукты в набор добавляются, если количество товаров в наборе 30, при валидных : id в url = 6,  id продукта =1 , quantity  =1",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,Продукты в набор добавлены
4,"Продукты в набор не добавляются, если количество товаров в наборе 31, при валидных : id в url = 6,  id продукта =1 , quantity  =1",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
5,"Продукты в набор не добавляются, если JSON пустой, при валидном id в url=8",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
6,"Продукты в набор не добавляются, если  в структуре JSON значение quantity и id пустые одновременно, при валидном id в url =6",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
7,"Продукты в набор не добавляются, если  в структуре JSON отсутствует строка quantity , при валидных : id в url = 6,  id продукта =1",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
8,"Продукты в набор не добавляются, если  в структуре JSON отсутствует строка id продукта, при валидных : id в url = 6,  quantity  =1",Код и статус ответа 400 Bad Request
,,Структура ответа соответствует документации
,,Продукты в набор не добавлены
Работа с курьерами,,
"Доставка: ""Привезём быстро"" — ручка POST/fast-delivery/v3.1.1/calculate-delivery.xml",,
1,"Доставка курьерской службой «Привезём быстро» и её стоимость, при вводе валидных значений : productsCount =1,  productsWeight = 2, deliveryTime=20
",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 23
,,clientDeliveryCost = 0
3,"Доставка курьерской службой «Привезём быстро» и её стоимость, при  заполнении не всех обязательных полей, productsCount =пустое поле,  productsWeight = пустое поле, deliveryTime=20
",Код и статус ответа 400 Bad Request
,,Структура ответа соответствует документации
,,возможность доставки и стоимость не определена
4,"Доставка курьерской службой «Привезём быстро» и её стоимость, если все обязательные поля пустые",Код и статус ответа 400 Bad Request
,,Структура ответа соответствует документации
,,возможность доставки и стоимость не определена
5,"Доставка курьерской службой «Привезём быстро» и её стоимость, если body не заполнено",Код и статус ответа 400 Bad Request
,,Структура ответа соответствует документации
,,возможность доставки и стоимость не определена
Проверка стоимости при кол-ве продуктов 0-7 шт,,
1,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 0 шт, вес 1 кг, время 20 ",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 23
,,clientDeliveryCost = 0
2,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 1 шт, вес 1 кг, время 20 ",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 23
,,clientDeliveryCost = 0
3,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов оставить пустое, вес 1 кг, время 20 ",Код и статус ответа 400 Bad Request
,,возможность доставки и стоимость не определена
4,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 6 шт, вес 1 кг, время 20 ",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 23
,,clientDeliveryCost = 0
5,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 7 шт, вес 1 кг, время 20 ",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 23
,,clientDeliveryCost = 0
6,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 1 кг, время 20 ",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 43
,,clientDeliveryCost = 0
7,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов отрицательное число -1, вес 1 кг, время 20 ",Код и статус ответа 400 Bad Request
,,возможность доставки и стоимость не определена
8,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов ввести символы ""&/="" , вес 1кг, время 20 ",Код и статус ответа 400 Bad Request
,,возможность доставки не определена
9,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов ввести буквы ""gh"" , вес 5.115 кг, время 20",Код и статус ответа 400 Bad Request
,,возможность доставки и стоимость не определена
Проверка стоимости заказа при кол-ве продуктов 8-14 шт,,
1,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 9 шт, вес 3 кг, время 20 ",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 43
,,clientDeliveryCost = 0
2,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 13 шт, вес 3 кг, время 20 ",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 43
,,clientDeliveryCost = 0
3,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 14 шт, вес 3 кг, время 20",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 43
,,clientDeliveryCost = 0
4,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 15 шт, вес 3 кг, время 20",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
